CODE_COM;APL_EHPA;APL_RA;APL_SAPA
31488;109144.65;549.0;1567.64
31491;92640.49;1235.3;819.74
31492;103957.34;360.73;964.44
31500;96571.78;0.0;18.9
31503;124509.49;330.64;1617.95
31507;74093.28;268.63;1181.39
31510;110047.09;202.59;1759.08
31511;50473.44;383.08;1137.6
31517;88934.51;267.51;840.44
31520;49467.87;223.44;1148.48
31522;45750.92;107.19;876.44
31524;129187.94;0.0;18.9
31525;91764.28;253.54;1082.05
31530;90923.38;330.64;942.27
31531;85200.65;95.4;4.23
31538;50498.03;223.44;912.57
31540;56254.82;465.76;523.83
31541;112331.09;456.53;1306.8
31543;45757.54;223.44;849.44
31544;51203.53;0.0;18.9
31546;83654.61;722.87;209.34
31548;107884.48;0.0;685.72
31549;86146.04;0.0;18.9
31553;62709.09;51.02;247.73
31559;98156.14;0.0;2607.37
31562;50608.89;0.0;43.06
31567;57984.71;563.7;1167.89
31568;59629.76;204.87;209.37
31571;54584.29;668.62;852.8
31572;72365.3;374.15;1163.26
31573;41888.64;202.86;621.39
31575;93646.47;425.18;1306.77
31577;81110.54;0.0;305.37
31578;85519.74;425.18;1306.77
31585;152090.43;95.4;1522.62
31588;106756.44;425.18;1815.13
