"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Romainville";93063;9235.9999189569;3903.1508722898;397.724368994598;3921.36198812173;536.477293153815;8747.02141594341;3450.34371952796;474.592493642607;3941.20057958304;511.636558807806;10427.537785572;4277.69662860766;513.732436867269;4471.38172592332;632.936347241633;85;10;85;11;84;11;-1;0
"Rosny-sous-Bois";93064;17297.7380645094;7613.75725488928;562.57125809995;7625.94918120852;776.53613115669;17765.7165793242;7703.38054490332;624.498624240185;7751.90005343251;922.101109322411;18272.2913206174;8119.40949815619;693.311866915814;7857.20678653365;858.914860129929;88;8;87;9;87;8;0;-11
"Saint-Denis";93066;37826.4764732985;15949.9463077778;2466.98325660922;14716.8725457578;2448.39111315436;39595.2115373216;17351.9517890603;2574.59579911388;15399.3284337309;2330.24733562715;38787.6368597381;16628.6654160198;2490.83152398635;14570.1325503149;2513.68277252453;81;13;83;12;80;13;-4;8
"Saint-Ouen-sur-Seine";93070;18077.7305336906;7620.71013941535;1144.91467877182;7169.57789093596;1146.29907244061;18583.1858758514;7758.92911749178;1123.68750465462;7374.58121252078;1288.94288266504;20336.2270894489;8452.34247196808;1142.23643854824;8323.98651822681;1298.60284560872;82;13;81;13;82;12;1;-8
"Sevran";93071;18238.7602961889;8238.18425270523;688.379081350168;7366.24683198456;891.608951986028;17258.2242080207;7512.53018179843;800.450879375446;6984.03177893575;927.119639042809;16749.5170580721;7465.95280979607;647.715282897862;6673.66937776032;890.024010404853;86;9;84;10;84;9;0;-10
"Stains";93072;11429.5180569558;4959.82873133973;537.314613043192;4536.62693004395;669.179971524595;12029.3205235105;5324.79292453986;639.267518819238;4742.27368123722;654.588839225769;12194.0110555577;5102.8568819017;843.159388569686;4568.88860353052;837.092838259794;83;11;84;11;79;14;-6;27
"Tremblay-en-France";93073;13976.6546813824;6178.37006454432;385.885137906617;6037.22516248515;612.490102745746;13400.7907124711;5849.91816127956;490.112823756062;5726.79545857182;639.877041754826;13848.3956375141;6055.17819978139;453.235787433452;5851.9289541806;685.009947800686;87;7;86;8;86;8;0;0
"Vaujours";93074;2732.47788516882;1215.84528399999;92.3987879938397;1193.10638002927;95.4803444209948;3099.45747554644;1387.10905920856;83.014726418614;1377.66253919341;123.810024806649;2881.05816285403;1291.19767231871;74.6901040314914;1248.17673200478;137.3871630774;88;7;89;7;88;7;-1;0
"Villemomble";93077;11200.0588500537;4894.44370044112;365.124348694408;5023.85135216608;507.968811319583;11733.9505874701;5012.97716836253;485.776103095022;5249.09373259937;587.947154183163;11922.8904071631;5221.12394628097;391.487590210459;5419.45993471442;434.06594389499;89;8;87;9;89;7;2;-22
"Villepinte";93078;13925.1220111141;6183.43643720333;409.89808460172;5974.78491461256;550.009563206043;12678.5242741503;5593.40748276596;455.389660854406;5382.87791234893;614.607761836102;12651.8444148885;5589.87718191609;455.600767444101;5287.41678505179;637.987137231187;87;7;87;8;86;9;-1;12
"Villetaneuse";93079;4391.64522550313;1856.53171457872;207.134864071757;1732.0697963733;284.059884050549;4264.16638509442;1774.0628571716;236.912706322974;1781.87171845613;159.246056645448;4395.85194390859;1712.04157904278;255.246719614842;1816.04204528832;298.275826418622;82;11;83;9;80;13;-4;44
"Ablon-sur-Seine";94001;2220.11276623547;956.187181497453;60.9481902521888;1057.10139814452;75.935450150268;2205.54054054054;966.677477477477;60.2306306306306;1017.68828828829;66.1549549549549;2362.2019168664;1013.37540621723;66.6947425929847;1095.98375514741;96.5580601719331;91;6;90;6;89;7;-1;17
"Alfortville";94002;19005.342061257;8131.00137440842;806.673074082108;8120.64735539969;928.909550327197;18727.3896550776;8084.85884520138;676.574316188005;8104.82321141634;1037.00807153126;18435.9207349448;7674.94821070187;891.565733002641;7981.72827765818;988.623602287286;86;9;86;9;85;10;-1;11
"Arcueil";94003;8202.13750433433;3342.35605610638;352.469030275567;3692.55326338965;502.608761196991;8128.98701442252;3380.81828717686;345.166176261754;3616.40416125014;469.870036099237;9030.83484471749;3812.19095363677;455.536865501199;3799.11837833977;527.161765157535;86;10;86;10;84;11;-2;10
"Boissy-Saint-Léger";94004;6782.22317947813;3067.24547807443;193.113810867126;2939.54892344688;277.894651873475;6598.00069528461;3019.16019104199;163.38502107686;2832.10377076857;291.902158240303;6344.44474735594;2764.23777426455;272.809117110762;2654.98124470148;330.656620516199;89;7;89;7;85;10;-4;43
"Bonneuil-sur-Marne";94011;6482.19736973111;2727.92355931468;217.248461954139;2898.15752951813;350.380164485733;6047.38452079352;2504.90994192579;209.887738639286;2666.81545848006;351.653569355452;6608.69102842195;2699.55583956156;327.305283079899;2802.72110580503;428.157643342976;87;9;86;9;83;11;-3;22
"Bry-sur-Marne";94015;6405.13337211255;2681.25419349959;163.324928758662;3115.29762614044;195.020941088083;6905.1309909256;2901.53433418147;202.98634930664;3273.5453684192;251.481019244124;6818.05499384741;2874.02319204894;216.659206723815;3222.70002589784;247.819836179651;90;6;89;7;89;7;0;0
