"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Clamart";92023;42837.4327755989;36467.9800950534;5061.69561345349;5669.52821339115;5231.25699997678;9422.86414746161;36993.2167384601;9269.38856684974;6112.10263423853;15941.4332891535;37343.6767916726;5731.38230427816;5687.77460655978;4693.2403236152;4927.68791581297;8783.02046722131;29;43;49;69;14
"Clichy";92024;50536.2519819853;41271.1807909803;10212.6821250435;6530.57241729075;5235.45056849651;8082.46307673849;41867.4848666362;12535.452707025;6770.17641074192;16311.1336506858;43571.6696439669;9230.74395901603;6645.14409747388;4432.05578498365;5348.35476438628;10183.9349255027;25;39;46;84;18
"Colombes";92025;67969.6935349098;57383.5221581738;11999.2965051294;9548.6988080427;7292.88650699853;11027.2042120477;57462.9359062171;17502.3968813498;9290.97930852999;21132.3677475104;58709.2755402671;11809.9810446211;9101.78301528399;6494.12393439448;7002.32806994425;12241.0648418277;25;37;44;76;19
"Courbevoie";92026;67644.3708162278;60665.7556790542;6102.29272964632;9899.95029885866;9039.97375759786;22748.6078988271;60029.551723015;10604.6351272711;9683.55923233796;33409.7953405564;58318.8103679172;5533.81746405882;8573.61405182265;6541.51524960449;8490.63865123266;21147.7056119159;30;56;62;107;11
"Fontenay-aux-Roses";92032;20110.452482079;16907.4341883237;1786.52620534283;2901.21648762464;2295.23283444985;5313.69716024246;15499.0975745336;3442.52354241103;2403.6322847271;7407.08948547641;17068.504737173;2403.06251514226;2621.10730809728;1989.70299469587;2230.79738849338;4542.52574790621;27;48;51;89;6
"Garches";92033;14539.8472590952;12546.031753002;1209.22483805322;1914.28510918066;1882.76521608937;4859.44091345323;12117.2131075243;2281.89044782578;1770.11098859663;6740.1409813699;12493.7872571926;1311.41315078167;1818.29227848744;1388.47301621993;1855.10097363329;4341.30725146456;30;56;61;103;9
"La Garenne-Colombes";92035;23856.8358110044;19266.0861676356;2298.67445222051;2910.85045238828;2927.54859115161;5598.72160556721;20085.5281515986;4007.77414377321;3075.00331840044;10357.6518751362;20927.714192016;2220.86109680325;2980.63486546784;2654.53789382329;2952.36608226915;6570.23912081279;30;52;58;93;12
"Gennevilliers";92036;36902.1529615176;28634.958142762;10372.6636756135;4075.80592412805;2429.37377324409;2055.06162145188;29684.3616761522;12339.1705415169;4785.86944816658;6096.7273533249;32056.2116407234;10600.2616075095;5578.49307664857;2848.7796151405;2295.01088697438;2822.57724253281;17;21;25;47;19
"Issy-les-Moulineaux";92040;55927.0618761952;45065.2056945728;4881.57929277358;6732.99566690802;6522.71842285253;16758.32431059;46569.0084937364;8403.2610301302;6843.48451110952;26675.4047460167;48847.0899848564;4908.43715706905;6175.97245133241;5297.00279447611;7331.82850177514;18614.068519575;29;57;64;121;12
"Levallois-Perret";92044;53585.7530334929;45548.916931327;5352.96162731407;6816.63063333031;5667.02414120525;18140.4648283005;46321.0147435945;9029.98188452462;6721.84841069385;25819.0151858843;46994.7411504042;5057.60155861897;5982.44743864607;4823.94701160322;6728.03692677321;18063.8966444812;25;56;63;152;12
