"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Charenton-le-Pont";94018;14689.4640756546;8104.24621817045;1055.63282652366;4146.11394685923;14678.0481575136;8205.79520999119;983.094271044007;3922.98504419972;60;75;60;11;15;12;24;35;24;55;7;28;56;7;27;2;0;-4;0;9;0
"Chennevières-sur-Marne";94019;7803.24343108267;2456.56920727895;378.388977478;4452.3807779535;7771.47969539052;2640.19778832532;272.424400019002;4292.73398370573;9;18;14;12;6;6;21;34;26;31;5;57;34;4;55;10;-20;-4;56;-50;24
"Chevilly-Larue";94021;8918.63819419814;3323.14841964992;482.500989820724;4406.29314359953;8618.7776359515;2991.88355887087;550.63752954043;4496.18268156209;20;20;16;5;5;3;16;21;23;37;5;49;35;6;52;-5;20;6;-20;-40;44
"Choisy-le-Roi";94022;19197.7838554618;9919.00523025874;1050.9236147825;6999.87372842496;20314.3732867059;10710.3589660056;1103.43054582311;7370.71273506143;65;66;69;11;15;17;62;82;76;52;5;36;53;5;36;2;0;0;6;55;23
"Créteil";94028;38027.2209860168;18298.5514632489;3391.31155112248;14187.4781859915;39540.4896703428;20412.4130675371;3089.22721744316;13680.9723032113;141;145;172;31;38;36;104;102;100;48;9;37;52;8;35;8;-11;-5;22;16;-4
"Fontenay-sous-Bois";94033;23938.0626495728;12544.856187397;1847.81169631898;7230.47994522633;23512.9924280869;12982.7229930121;1866.01838032457;6320.99006521057;98;96;82;17;31;16;41;95;63;52;8;30;55;8;27;6;0;-10;-16;-6;54
"Fresnes";94034;11865.254794303;4778.15108962632;1227.79410052385;5082.94818618478;12167.0056927899;4520.31488143927;1475.95850053074;5218.39769036649;27;28;28;6;3;9;20;18;32;40;10;43;37;12;43;-8;20;0;4;50;60
"Gentilly";94037;7306.53814014157;3913.32828122511;866.553074402779;1797.76041629214;8651.06110236905;4964.48870217401;910.682921566689;1935.05495066743;24;27;22;8;8;5;20;23;17;54;12;25;57;11;22;6;-8;-12;-8;-38;-15
"L'Haÿ-les-Roses";94038;13142.5024975717;4883.55641542215;658.547205533673;6519.97980060145;13246.1536665528;5144.12462244215;797.038674697199;6267.7778563969;34;38;27;6;12;3;25;27;31;37;5;50;39;6;47;5;20;-6;-21;-50;24
"Ivry-sur-Seine";94041;25893.7517577129;14799.3360792506;2763.36499876864;6093.70900483528;27888.0949840717;16413.0801114032;2555.44981309583;6179.52173374308;86;114;106;33;35;16;98;104;90;57;11;24;59;9;22;4;-18;-8;23;-52;-8
